id;date;A2_statut;A2_autre;A3_poste;A4_secteur;A4_secteur_autre;A5_teleravail;A6_experience;B1_utilisation_python;B1_utilisation_r;B1_utilisation_sas;B1_utilisation_powerBI;B1_utilisation_tableau;B1_utilisation_qlik;B1_utilisation_excel;B1_utilisation_sql;B1_utilisation_spark;B1_utilisation_spss;B1_utilisation_c_java;B1_utilisation_datastudio;B1_utilisation_matlab;B1_utilisation_aucun;B2_frequence_utilisation_python;B2_frequence_utilisation_r;B2_frequence_utilisation_sas;B2_frequence_utilisation_powerBI;B2_frequence_utilisation_tableau;B2_frequence_utilisation_qlik;B2_frequence_utilisation_excel;B2_frequence_utilisation_sql;B2_frequence_utilisation_spark;B2_frequence_utilisation_spss;B2_frequence_utilisation_c_java;B2_frequence_utilisation_datastudio;B2_frequence_utilisation_matlab;D1_satisfaction;Y1A_genre;Y1B_age;Y4_diplome;Y2_region
467;31/03/2024 11:39;En CDI;;Data Analyst / analyste;Marketing;;Présentiel complet (pas ou quasiment pas de travail à distance);3;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;;;;Occasionnellement;;;Régulièrement;;;;;;;4;Une femme;27;Bac + 5;Hors France
468;31/03/2024 13:14;En recherche d'emploi;;;;;;;Oui;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Jamais;;Jamais;;;;Jamais;Jamais;;;;;;;Une femme;57;Bac + 5;Auvergne-Rhône-Alpes
469;31/03/2024 20:32;En CDI;;Data Engineer;Autre;Droit;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;2;Oui;Non;Non;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Régulièrement;;;;Occasionnellement;;Occasionnellement;Occasionnellement;;;;;;6;Un homme;41;Bac + 5;Île-de-France
470;01/04/2024 00:39;Indépendant / freelance;;Data Scientist;Autre;Retail;Mon activité est trop spécifique pour distinguer télétravail et présentiel;2;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Régulièrement;;;;;;;Occasionnellement;Occasionnellement;;;;;7;Un homme;42;Bac + 5;Île-de-France
471;;;;;;;;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;
472;01/04/2024 08:52;En CDI;;Data Analyst / analyste;Autre;Agriculture ;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;;Régulièrement;;;;;Régulièrement;;;;;;;10;Un homme;32;Bac + 8;Pays de la Loire
473;01/04/2024 10:33;En CDI;;Data Engineer;Marketing;;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;3;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Régulièrement;;;;;;;Régulièrement;Occasionnellement;;;;;7;Un homme;28;Bac + 5;Île-de-France
474;01/04/2024 10:50;En CDD / contrat court / alternance / stage;;Data Analyst / analyste;Administration;;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Jamais;Régulièrement;Jamais;Jamais;Jamais;Jamais;Occasionnellement;Régulièrement;Jamais;;;;Jamais;7;Un homme;23;Bac + 2 / 3;Île-de-France
475;01/04/2024 11:14;En recherche d'emploi;;;;;;;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Régulièrement;Jamais;;Occasionnellement;;;Occasionnellement;Régulièrement;Régulièrement;;;;;;Un homme;24;Bac + 5;Grand Est
476;;En CDI;;Data Engineer;Banques / assurances / finances;;Présentiel complet (pas ou quasiment pas de travail à distance);6;Oui;Non;Non;Non;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Régulièrement;;;;Occasionnellement;;;Régulièrement;Régulièrement;;;;;;;;;
477;02/04/2024 03:15;En CDI;;Statisticien;Santé;;Distanciel complet (pas de travail sur site);10;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;;Occasionnellement;Régulièrement;;;;;;;;;;;9;Une femme;33;Bac + 8;Pays de la Loire
478;02/04/2024 05:50;En CDI;;Autre;Santé;;Distanciel complet (pas de travail sur site);15;Non;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;;Jamais;Régulièrement;Occasionnellement;;;Régulièrement;Jamais;;;;;;7;Une femme;41;Bac + 2 / 3;Bretagne
479;;En CDI;;Autre;Banques / assurances / finances;;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1;Non;Non;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;;;;;;;;;;;;;;;;;;
480;;En CDI;;Data Analyst / analyste;Prestation de services informatiques / statistiques;;Hybride avec en moyenne un ou deux jours de télétravail / semaine;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;
481;;;;;;;;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;
482;02/04/2024 11:20;En CDI;;Data Analyst / analyste;Prestation de services informatiques / statistiques;;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2;Oui;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Régulièrement;;;Régulièrement;;;Régulièrement;;;;;;;8;Un homme;33;Bac + 2 / 3;Occitanie
483;;En CDI;;Data Scientist;Industrie;;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;1;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;;;;;;;;;;;;;;;;;;
484;;En CDI;;;;;;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;
